Name,Crossing Number,Jones,Volume,Meridian Length,Mosaic/Tile-Number
3_1,3,t+ t^3-t^4,0,Not Hyperbolic,{ 4 ; 12 }
4_1,4,t^(-2)-t^(-1)+ 1-t+ t^2,2.0298832128,1,{ 5 ; 17 }
5_1,5,t^2+ t^4-t^5+ t^6-t^7,0,Not Hyperbolic,{ 5 ; 17 }
5_2,5,t-t^2+ 2*t^3-t^4+ t^5-t^6,2.8281220883,1.150963925,{ 5 ; 17 }
6_1,6,t^(-2)-t^(-1)+ 2-2*t+ t^2-t^3+ t^4,3.1639632288,1.247409392,{ 5 ; 17 }
6_2,6,t^(-1)-1+ 2*t-2*t^2+ 2*t^3-2*t^4+ t^5,4.4008325161,1.283754238,{ 5 ; 17 }
6_3,6,-t^(-3)+ 2*t^(-2)-2*t^(-1)+ 3-2*t+ 2*t^2-t^3,5.6930210912,1.210607794,{ 6 ; 22 }
7_1,7,t^3+ t^5-t^6+ t^7-t^8+ t^9-t^10,0,Not Hyperbolic,{ 6 ; 22 }
7_2,7,t-t^2+ 2*t^3-2*t^4+ 2*t^5-t^6+ t^7-t^8,3.3317442316,1.300876473,{ 6 ; 22 }
7_3,7,t^2-t^3+ 2*t^4-2*t^5+ 3*t^6-2*t^7+ t^8-t^9,4.5921256970,1.340245356,{ 6 ; 22 }
7_4,7,t-2*t^2+ 3*t^3-2*t^4+ 3*t^5-2*t^6+ t^7-t^8,5.1379412018,1.485115965,{ 5 ; 17 }
7_5,7,t^2-t^3+ 3*t^4-3*t^5+ 3*t^6-3*t^7+ 2*t^8-t^9,6.4435373808,1.222402211,{ 6 ; 22 }
7_6,7,t^(-1)-2+ 3*t-3*t^2+ 4*t^3-3*t^4+ 2*t^5-t^6,7.0849259535,1.226445278,{ 6 ; 22 }
7_7,7,t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 4-3*t+ 3*t^2-t^3,7.6433751723,1.247409392,{ 6 ; 22 }
8_1,8,t^(-2)-t^(-1)+ 2-2*t+ 2*t^2-2*t^3+ t^4-t^5+ t^6,3.4272052462,1.332538118,{ 6 ; 22 }
8_2,8,1-t+ 2*t^2-2*t^3+ 3*t^4-3*t^5+ 2*t^6-2*t^7+ t^8,4.9352426782,1.358234792,{ 6 ; 22 }
8_3,8,t^(-4)-t^(-3)+ 2*t^(-2)-3*t^(-1)+ 3-3*t+ 2*t^2-t^3+ t^4,5.2386841007,1.526793485,{ 6 ; 22 }
8_4,8,t^(-5)-2*t^(-4)+ 3*t^(-3)-3*t^(-2)+ 3*t^(-1)-3+ 2*t^1-t^2+ t^3,5.5004864163,1.509575017,{ 6 ; 22 }
8_5,8,1-t+ 3*t^2-3*t^3+ 3*t^4-4*t^5+ 3*t^6-2*t^7+ t^8,6.9971891477,1.605392576,{ 6 ; 24 }
8_6,8,t^(-1)-1+ 3*t-4*t^2+ 4*t^3-4*t^4+ 3*t^5-2*t^6+ t^7,7.4752374295,1.249647638,{ 6 ; 24 }
8_7,8,-t^(-6)+ 2*t^(-5)-3*t^(-4)+ 4*t^(-3)-4*t^(-2)+ 4*t^(-1)-2+ 2*t-t^2,7.0221965890,1.252113801,{ 6 ; 22 }
8_8,8,-t^(-5)+ 2*t^(-4)-3*t^(-3)+ 4*t^(-2)-4*t^(-1)+ 5-3*t+ 2*t^2-t^3,7.8013412244,1.270489558,{ 6 ; 22 }
8_9,8,t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 5-4*t+ 3*t^2-2*t^3+ t^4,7.5881802236,1.420609157,{ 6 ; 22 }
8_10,8,-t^(-6)+ 2*t^(-5)-4*t^(-4)+ 5*t^(-3)-4*t^(-2)+ 5*t^(-1)-3+ 2*t-t^2,8.6511485580,1.331925523,{ 6 ; 24 }
