Name,crossing_number,jones_polynomial,hyperbolic_volume,meridian_length,mosaic_num,tile_num,image_filename_matched,image_url_matched
3_1,3,t+ t^3-t^4,0,Not Hyperbolic,4,12,3_1.jpg,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/3_1.jpg
4_1,4,t^(-2)-t^(-1)+ 1-t+ t^2,2.0298832128,1,5,17,4_1.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/4_1.png
5_1,5,t^2+ t^4-t^5+ t^6-t^7,0,Not Hyperbolic,5,17,5_1.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/5_1.png
5_2,5,t-t^2+ 2*t^3-t^4+ t^5-t^6,2.8281220883,1.150963925,5,17,5_2.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/5_2.png
6_1,6,t^(-2)-t^(-1)+ 2-2*t+ t^2-t^3+ t^4,3.1639632288,1.247409392,5,17,6_1.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/6_1-mt.png
6_2,6,t^(-1)-1+ 2*t-2*t^2+ 2*t^3-2*t^4+ t^5,4.4008325161,1.283754238,5,17,6_2.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/6_2.png
6_3,6,-t^(-3)+ 2*t^(-2)-2*t^(-1)+ 3-2*t+ 2*t^2-t^3,5.6930210912,1.210607794,6,22,6_3.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/6_3.png
7_1,7,t^3+ t^5-t^6+ t^7-t^8+ t^9-t^10,0,Not Hyperbolic,6,22,7_1.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/7_1.png
7_2,7,t-t^2+ 2*t^3-2*t^4+ 2*t^5-t^6+ t^7-t^8,3.3317442316,1.300876473,6,22,7_2.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/7_2.png
7_3,7,t^2-t^3+ 2*t^4-2*t^5+ 3*t^6-2*t^7+ t^8-t^9,4.5921256970,1.340245356,6,22,7_3.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/7_3-mt.png
7_4,7,t-2*t^2+ 3*t^3-2*t^4+ 3*t^5-2*t^6+ t^7-t^8,5.1379412018,1.485115965,5,17,7_4.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/7_4.png
7_5,7,t^2-t^3+ 3*t^4-3*t^5+ 3*t^6-3*t^7+ 2*t^8-t^9,6.4435373808,1.222402211,6,22,7_5.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/7_5.png
7_6,7,t^(-1)-2+ 3*t-3*t^2+ 4*t^3-3*t^4+ 2*t^5-t^6,7.0849259535,1.226445278,6,22,7_6.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/7_6.png
7_7,7,t^(-4)-2*t^(-3)+ 3*t^(-2)-4*t^(-1)+ 4-3*t+ 3*t^2-t^3,7.6433751723,1.247409392,6,22,7_7.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/7_7.png
8_1,8,t^(-2)-t^(-1)+ 2-2*t+ 2*t^2-2*t^3+ t^4-t^5+ t^6,3.4272052462,1.332538118,6,22,8_1.png,https://tildesites.geneseo.edu/~heap/knot-mosaics/images/8_01-mt.png
